"Paper","Property_reg","Geopol_c_a","C_study_geo","Year","seed","farmer","variety","plant","right","food","crop","system","genetic","resource","country","patent","breeding","community","protection","breeder","local","production","agricultural","law","development","state","company","public","property","research","common","agriculture","market","access","government","international","technology","national","knowledge","gene","material","product","traditional","sector","policy","process","benefit","intellectual","sovereignty","practice","legal","maize","private","diversity","people","world","land","cultivar","developing","upov","security","agreement","wheat","global","cluster"
"71_limpio.txt","State","Africa","Africa",2021,213,63,26,0,10,0,4,58,0,0,1,0,0,1,0,0,13,4,6,0,4,2,6,4,0,1,3,12,18,13,12,0,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0,1,43,0,"1"
"72_limpio.txt","Common/State","Western Europe","Western Europe",2022,265,42,38,64,14,29,26,36,7,11,2,4,47,61,6,24,9,17,35,0,28,33,6,88,6,74,14,13,6,5,4,9,6,3,31,0,2,0,3,11,2,1,0,7,24,8,2,0,14,7,10,4,14,17,1,3,4,6,2,7,"1"
"73_limpio.txt","Common/State","Asia-Pacific","Asia-Pacific",2022,52,19,89,36,31,8,15,10,54,59,2,0,19,1,3,24,0,7,7,7,17,5,7,24,6,16,11,7,0,7,75,6,0,76,0,2,10,0,1,6,5,2,2,6,1,7,5,0,2,1,0,0,0,1,5,35,0,4,1,0,"3"
"74_limpio.txt","Common/State","Asia-Pacific","Asia-Pacific",2022,89,60,18,3,4,35,26,16,3,5,10,1,1,5,2,0,8,14,21,0,8,4,3,4,2,3,1,22,8,1,6,0,16,1,16,1,0,4,9,3,9,6,3,1,7,11,0,0,4,4,4,5,3,0,2,2,9,0,2,5,"1"
"75_limpio.txt","Private","Asia-Pacific","Asia-Pacific",2022,5,0,14,24,1,2,28,6,10,7,5,35,40,0,0,2,1,15,6,0,5,6,0,1,1,8,0,1,4,0,0,1,38,2,0,80,11,4,3,0,7,7,1,1,0,0,0,86,0,0,2,3,0,0,4,0,2,0,1,5,"4"
"76_limpio.txt","Private/State","Asia-Pacific","Asia-Pacific",2022,42,55,77,31,175,61,12,46,48,43,25,30,8,5,76,11,5,23,69,26,27,15,5,8,84,13,2,19,9,3,5,17,56,7,27,6,7,23,38,1,5,10,6,81,1,6,11,0,7,3,10,11,1,0,7,0,32,2,0,3,"3"
"77_limpio.txt","Private/State","Asia-Pacific","Asia-Pacific",2022,157,162,184,54,64,6,28,23,56,71,15,8,9,92,32,18,25,3,13,5,8,7,15,12,11,10,17,16,4,21,8,16,3,25,23,27,17,7,16,10,6,26,60,7,2,4,25,4,10,16,8,4,0,1,9,3,3,8,2,6,"3"
"78_limpio.txt","Private","Asia-Pacific","Asia-Pacific",2022,18,0,114,67,133,2,8,15,2,1,3,0,16,0,9,2,0,5,18,11,17,1,6,2,26,19,0,3,20,0,2,0,13,0,2,0,2,7,1,0,2,3,2,22,0,1,9,0,3,0,4,0,0,0,1,1,3,1,0,0,"3"
"79_limpio.txt","Private/State","LAC","LAC",2024,192,22,7,2,2,6,0,6,2,2,2,0,11,1,0,3,6,44,1,0,15,3,20,12,0,10,0,0,36,26,20,2,2,5,2,0,1,46,0,12,0,5,3,0,0,0,0,112,2,0,0,0,3,32,1,0,6,0,0,0,"2"
"80_limpio.txt","Common","Western Europe","Asia-Pacific",2024,99,177,81,6,8,15,14,31,22,36,5,1,50,10,4,15,50,24,18,0,15,1,2,0,3,9,10,8,6,8,4,4,10,7,21,0,9,2,16,2,4,5,3,1,5,28,1,0,4,8,1,2,5,1,3,0,6,0,0,7,"1"
"81_limpio.txt","Common","Western Europe","Western Europe",2023,44,12,4,4,15,35,1,6,3,7,6,0,0,5,0,0,14,13,6,0,0,5,1,3,0,2,9,19,9,5,6,1,0,7,6,0,2,2,3,0,5,1,2,0,7,14,2,0,0,2,4,1,15,0,0,0,1,0,0,9,"1"
"82_limpio.txt","Common","Western Europe","Western Europe",2023,67,24,45,20,18,92,2,46,3,8,2,5,34,4,2,24,11,11,13,0,12,4,1,2,4,9,31,12,3,6,0,8,1,0,31,4,3,0,4,11,6,16,1,3,10,7,2,0,2,11,2,4,2,0,1,0,4,0,0,22,"1"
"83_limpio.txt","Common/State","Asia-Pacific","Asia-Pacific",2023,137,191,83,82,61,8,15,8,0,1,8,7,10,10,92,10,51,16,21,69,13,29,29,6,9,4,1,7,1,3,40,0,2,3,5,0,2,0,6,5,1,2,4,8,10,11,85,1,3,0,6,0,5,0,7,1,4,5,0,0,"3"
"84_limpio.txt","State","Africa","Africa",2023,56,62,58,0,0,0,2,10,0,2,1,0,1,1,0,0,9,12,10,1,2,0,0,0,0,0,2,0,7,9,7,3,9,1,1,0,0,0,0,0,2,0,2,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,58,0,"1"
"85_limpio.txt","State","Africa","Africa",2023,153,51,14,9,24,6,15,26,0,5,13,0,10,1,6,5,3,12,2,1,36,9,11,17,5,13,0,18,12,6,51,13,1,16,4,0,2,1,0,73,67,38,2,5,0,0,3,18,37,3,2,7,2,0,3,5,7,8,1,6,"2"
